mendigo	乞丐
audiencia	召见
expuesto	暴露的
al sereno	在夜露下
reto	挑战
desfallecer	昏厥
pulgar	拇指
desmejorado	身体搞垮的
enflaquecer	消瘦
contraer	染上，患病
conmocionado	震惊的
calamidad	磨难
piedad	同情，怜悯
atisbo	迹象
desconsiderado	不尊重人的
peregrinar	游历，朝圣
bárbaro	蛮族
familia de letrados	书香门第
instruir	教育
forjar	造就，锻炼
maestría	技巧，娴熟
núcleo	核心
modificar	改变
bibliófilo	藏书家
coleccionista	收藏家
erudición	博学
incursión	陷入（逆境）
traducirse (en)	变成，变为
caligrafía	书法
incesante	不停的
comprender	包括，包含
ensayo	散文
odio	仇恨
convocar	召集
perverso	邪恶的
malévolamente	不怀好意的
discordia	不和
reporte	消息，传言
diligente	迅速的
ambición	欲望
hacer alarde (de)	炫耀
fracasar	失败
desviar	转移，引开
ignorar	无视
renunciar (a)	拒绝，丢弃
celo	嫉妒
burlón	嘲弄的
artimaña	诡计，花招
infundado	无根据的
hiriente	伤害性的
confusión	混乱
indiferencia	冷漠 
invencible	不可战胜的
fúnebre	死人般的
gravedad	严肃
pretender	企图
asamblea	集会，大会
destrozado	被打败的
aplastar	打败
rutina	日常生活，常规
banquero	银行家
inversión	投资
muelle	码头
caribeño	加勒比的
bote	小船
placentero	令人愉快的
eventualmente	可能，也许
flota	船队
intermediario	中间商，代理人
procesador	加工商
desperdiciado	挥霍的，浪费的
pretendiente	追求者
pretender	追求
acordado	商定的
estéril	无繁殖能力的
entristecido	忧伤的
payaso	小丑
parado	茫然的
atento	全神贯注的
compensar	补偿
truco	计谋，花招
extra	额外的
tornado	龙卷风
atmosférico	大气的
torbellino	旋风
inofensivo	无害的
ensordecedor	震耳欲聋的
absorber	吸走
basura	垃圾
valla	栅栏
papelera	垃圾桶
arrancar	连根拔起
volcar	掀翻
remolino	旋涡
equipado	装备的
impetuoso	猛烈的
factor	因素
profundizar	深入研究
imprescindible	必不可少的
definido	明确的
fluido	流畅的
estimular	鼓励
fase	阶段
madurez	成熟
expectativa	期望值
ambiguo	模糊的
contrapartida	补偿，订正
etapa	阶段
vislumbrar	隐约可见
eficacia	效率，效力
consecución	获得，达到
experimentar	经历，尝试
ascendente	上升的
óptimo	最好的，最佳的
difusión	传播
satélite	卫星
remontarse	追溯
diversión	娱乐，消遣
auxiliar	辅助
meteorológico	气象的
anticipar	预测
ondas frías	寒流
Golfo Pérsico	波斯湾
cómico	喜剧的
excitante	刺激的
general	将军
ejecutivo	行政的
legislativo	立法的
suprimir	取消
aislamiento	隔绝，隔离
víveres	粮食
racionamiento	配额制，分配
tratado	协议
apertura	开放
enfrentamiento	反对
desmoronarse	衰败，崩溃
reforma	改革
monarquía constitucional	君主立宪制
autonomía	自主性
golpe de Estado	政变
vicisitud	变迁
fortalecer	巩固，加强
bienestar	富裕
migratorio	移居的
emigrar	移居国外
frontera	边境
mediado	中期
esencial	必不可少的
asimilar	接受，融会贯通
consumismo	消费经济
mito	神话
difundir	传播
multiplicar	增加，增倍
auge	高潮
fomentado	促进的
panorama	局势，面貌
aportación	贡献
incorporar	融入，加入
alarma	警告
franja	地区
incidencia	发病
